Region,Country,Country_iso
European Region,United Kingdom, GBR
Region of the Americas,United States of America, UMI
Region of the Americas,Uruguay, URY
European Region,Uzbekistan, UZB
Western Pacific Region,Vanuatu, VUT
Region of the Americas,Venezuela, VUT
Western Pacific Region,Vietnam, VNM
African Region,West Africa, WLF
Eastern Mediterranean Region,Yemen, YEM
African Region,Zambia, ZMB
African Region,Zimbabwe, ZWE
